nose: x=-0.0004458521, y=-0.4825601578, z=-0.1238288283
left_eye: x=-0.0004458521, y=-0.4825601578, z=-0.1238288283
right_eye: x=-0.0004458521, y=-0.4825601578, z=-0.1238288283
left_ear: x=-0.0004458521, y=-0.4825601578, z=-0.1238288283
right_ear: x=-0.0004458521, y=-0.4825601578, z=-0.1238288283
left_shoulder: x=0.1030263603, y=-0.3451765776, z=-0.0593136400
right_shoulder: x=-0.1201668531, y=-0.3479260802, z=-0.0605015308
left_elbow: x=0.1441277564, y=-0.1568838060, z=0.0321210884
right_elbow: x=-0.1652351320, y=-0.1581054032, z=0.0223282445
left_wrist: x=0.1416040957, y=-0.0027618185, z=0.0652844161
right_wrist: x=-0.1637854576, y=0.0032060221, z=0.0265868586
left_hip: x=0.0795183778, y=0.0009482130, z=-0.0239917897
right_hip: x=-0.0788649172, y=-0.0039641932, z=0.0241116863
left_knee: x=0.0498401001, y=0.2820883989, z=0.0194861107
right_knee: x=-0.0774473846, y=0.2645067871, z=0.0706964284
left_ankle: x=0.0241801850, y=0.5144743919, z=0.1255951375
right_ankle: x=-0.0596523434, y=0.4860678017, z=0.1840623617
