nose: x=0.0005492112, y=-0.3927171230, z=-0.1118460596
left_eye: x=0.0005492112, y=-0.3927171230, z=-0.1118460596
right_eye: x=0.0005492112, y=-0.3927171230, z=-0.1118460596
left_ear: x=0.0005492112, y=-0.3927171230, z=-0.1118460596
right_ear: x=0.0005492112, y=-0.3927171230, z=-0.1118460596
left_shoulder: x=0.0930898488, y=-0.2866069078, z=-0.0672676861
right_shoulder: x=-0.1061268598, y=-0.2906176448, z=-0.0739150867
left_elbow: x=0.1301141232, y=-0.1192336529, z=-0.0011575436
right_elbow: x=-0.1513762176, y=-0.1195081100, z=-0.0166256018
left_wrist: x=0.1463973224, y=0.0248968527, z=0.0222203843
right_wrist: x=-0.1570409387, y=0.0335061625, z=-0.0064409338
left_hip: x=0.0677508861, y=0.0003800094, z=-0.0089360317
right_hip: x=-0.0688300729, y=-0.0020801648, z=0.0090976991
left_knee: x=0.0232260134, y=-0.0759266466, z=-0.1999095529
right_knee: x=-0.0746871531, y=-0.0986178294, z=-0.1764631867
left_ankle: x=-0.0186476596, y=0.1430106759, z=-0.0955583528
right_ankle: x=-0.0234141573, y=0.1093989909, z=-0.0446863845
