nose: x=0.3762805760, y=-0.5196770430, z=0.0033693083
left_eye: x=0.3762805760, y=-0.5196770430, z=0.0033693083
right_eye: x=0.3762805760, y=-0.5196770430, z=0.0033693083
left_ear: x=0.3762805760, y=-0.5196770430, z=0.0033693083
right_ear: x=0.3762805760, y=-0.5196770430, z=0.0033693083
left_shoulder: x=0.1584042907, y=-0.4559757113, z=0.1648441851
right_shoulder: x=0.2015047073, y=-0.4760725498, z=-0.1447339654
left_elbow: x=0.1589063406, y=-0.1714624912, z=0.1993984282
right_elbow: x=0.1652016640, y=-0.1597923934, z=-0.2144122273
left_wrist: x=0.2968558371, y=0.0026017874, z=0.2242885083
right_wrist: x=0.4027211964, y=0.0441493765, z=-0.2760731578
left_hip: x=0.0100128800, y=-0.0098602921, z=0.1084293127
right_hip: x=-0.0036049944, y=0.0176041946, z=-0.1123993844
left_knee: x=0.2906967998, y=0.1555306911, z=0.2472249418
right_knee: x=0.2825051546, y=0.2382426411, z=-0.1159863248
left_ankle: x=-0.0193463843, y=0.1354738027, z=0.1613628417
right_ankle: x=-0.0195603333, y=0.2292803526, z=-0.0601463169
